TimeStamp(H:M:S.MS;x(m);y(m);z(m);v_line(m/sec);v_turn(rad/sec);
13:13:45.571;0.000;0.000;0.000;-0.000;-0.000;
13:13:45.601;-0.143;0.055;-0.084;0.000;0.000;
13:13:45.662;-0.143;0.055;-0.084;0.000;0.001;
13:13:45.693;-0.141;0.055;-0.083;-0.000;-0.000;
13:13:45.784;-0.143;0.055;-0.082;0.000;0.001;
13:13:45.875;-0.143;0.055;-0.082;0.000;0.000;
13:13:45.905;-0.141;0.056;-0.084;0.000;0.000;
13:13:45.996;-0.148;0.055;-0.081;-0.000;-0.001;
13:13:46.087;-0.139;0.056;-0.082;0.000;-0.000;
13:13:46.148;-0.139;0.056;-0.082;-0.000;-0.000;
13:13:46.177;-0.139;0.056;-0.082;-0.000;0.000;
13:13:46.208;-0.146;0.055;-0.082;0.000;0.001;
13:13:46.269;-0.146;0.055;-0.082;0.000;0.000;
13:13:46.299;-0.141;0.055;-0.081;0.000;0.001;
13:13:46.361;-0.141;0.055;-0.081;0.000;0.002;
13:13:46.391;-0.136;0.056;-0.081;0.000;-0.000;
13:13:46.452;-0.136;0.056;-0.081;0.000;0.000;
13:13:46.482;-0.147;0.055;-0.080;-0.000;0.001;
13:13:46.543;-0.147;0.055;-0.080;0.000;0.001;
13:13:46.574;-0.147;0.055;-0.080;0.000;-0.001;
13:13:46.604;-0.144;0.056;-0.083;-0.000;-0.001;
13:13:46.697;-0.136;0.055;-0.082;0.000;-0.001;
13:13:46.757;-0.136;0.055;-0.082;0.000;0.000;
13:13:46.788;-0.144;0.055;-0.082;-0.000;-0.000;
13:13:46.848;-0.144;0.055;-0.082;0.000;-0.000;
13:13:46.879;-0.144;0.055;-0.082;-0.000;0.000;
13:13:46.909;-0.135;0.056;-0.081;0.000;0.000;
13:13:46.969;-0.135;0.056;-0.081;-0.000;-0.000;
13:13:47.000;-0.141;0.056;-0.083;0.000;0.000;
13:13:47.060;-0.141;0.056;-0.083;-0.000;-0.000;
13:13:47.091;-0.136;0.056;-0.081;-0.000;0.000;
13:13:47.152;-0.136;0.056;-0.081;-0.000;-0.000;
13:13:47.182;-0.140;0.055;-0.082;0.000;-0.000;
13:13:47.242;-0.140;0.055;-0.082;0.000;-0.001;
13:13:47.272;-0.140;0.055;-0.082;0.000;0.001;
13:13:47.303;-0.141;0.055;-0.081;0.000;0.000;
13:13:47.363;-0.141;0.055;-0.081;0.000;0.001;
13:13:47.394;-0.135;0.056;-0.080;-0.000;-0.000;
13:13:47.454;-0.135;0.056;-0.080;-0.000;0.001;
13:13:47.485;-0.146;0.055;-0.079;0.000;0.000;
13:13:47.545;-0.146;0.055;-0.079;-0.000;-0.001;
13:13:47.575;-0.146;0.055;-0.079;-0.000;-0.000;
13:13:47.606;-0.138;0.055;-0.080;0.000;0.001;
13:13:47.666;-0.138;0.055;-0.080;0.000;0.000;
13:13:47.696;-0.147;0.055;-0.079;0.000;0.000;
13:13:47.757;-0.147;0.055;-0.079;-0.000;0.000;
13:13:47.788;-0.139;0.056;-0.082;-0.000;-0.001;
13:13:47.878;-0.139;0.056;-0.082;0.000;0.001;
13:13:47.909;-0.150;0.055;-0.079;-0.000;0.000;
13:13:47.970;-0.150;0.055;-0.079;-0.000;-0.001;
13:13:48.001;-0.142;0.055;-0.079;-0.000;-0.000;
13:13:48.091;-0.148;0.056;-0.080;-0.000;-0.000;
13:13:48.091;-0.148;0.056;-0.080;-0.000;-0.000;
13:13:48.153;-0.148;0.056;-0.080;0.000;0.000;
13:13:48.183;-0.141;0.056;-0.079;0.000;0.001;
13:13:48.243;-0.141;0.056;-0.079;0.000;-0.000;
13:13:48.273;-0.141;0.056;-0.079;-0.000;-0.000;
13:13:48.303;-0.148;0.056;-0.080;-0.000;-0.000;
13:13:48.364;-0.148;0.056;-0.080;-0.000;0.000;
13:13:48.394;-0.135;0.056;-0.079;0.000;-0.000;
13:13:48.485;-0.132;0.056;-0.081;0.000;-0.000;
13:13:48.485;-0.132;0.056;-0.081;0.000;0.000;
13:13:48.546;-0.132;0.056;-0.081;-0.000;0.000;
13:13:48.576;-0.132;0.056;-0.081;0.000;-0.000;
13:13:48.606;-0.135;0.055;-0.082;-0.000;-0.000;
13:13:48.697;-0.143;0.056;-0.079;-0.000;-0.001;
13:13:48.697;-0.143;0.056;-0.079;0.000;0.000;
13:13:48.757;-0.143;0.056;-0.079;-0.000;-0.001;
13:13:48.788;-0.144;0.055;-0.080;-0.000;-0.001;
13:13:48.848;-0.144;0.055;-0.080;-0.000;-0.000;
13:13:48.878;-0.139;0.056;-0.080;-0.000;-0.001;
13:13:48.908;-0.139;0.056;-0.080;-0.000;0.000;
13:13:49.000;-0.145;0.055;-0.080;-0.000;-0.001;
13:13:49.090;-0.145;0.056;-0.080;0.000;0.001;
13:13:49.090;-0.145;0.056;-0.080;-0.000;-0.001;
13:13:49.151;-0.145;0.056;-0.080;-0.000;-0.001;
13:13:49.182;-0.142;0.056;-0.081;-0.000;-0.001;
13:13:49.242;-0.142;0.056;-0.081;0.000;0.000;
13:13:49.272;-0.142;0.056;-0.081;0.000;0.000;
13:13:49.303;-0.145;0.055;-0.080;0.000;-0.001;
13:13:49.393;-0.139;0.056;-0.080;-0.000;-0.000;
13:13:49.394;-0.139;0.056;-0.080;0.000;0.001;
13:13:49.484;-0.150;0.055;-0.078;0.000;0.000;
13:13:49.545;-0.150;0.055;-0.078;0.000;0.000;
13:13:49.575;-0.150;0.055;-0.078;-0.000;-0.001;
13:13:49.605;-0.139;0.055;-0.078;-0.000;0.001;
13:13:49.666;-0.139;0.055;-0.078;-0.000;-0.000;
13:13:49.696;-0.142;0.055;-0.080;0.000;0.001;
13:13:49.757;-0.142;0.055;-0.080;0.000;0.001;
13:13:49.788;-0.137;0.055;-0.079;-0.000;-0.000;
13:13:49.848;-0.137;0.055;-0.079;-0.000;-0.001;
